compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.3195862542081365,,,,,,8.409645130991168,,7.746485831632231,,CN(CC1CCOCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
COc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1,5.0,,,,,,8.851290654773923,,5.82391,,COc1ccc(Cn2c([C@H]3CNCCS3)nc3ccccc32)cc1
Cc1ccccc1C(OCCN(C)C)c1ccccc1,7.420409376976187,6.837419266366076,7.345436171647563,7.538259230119237,7.564730049006128,,6.84054583596825,6.901029995663983,6.07,,Cc1ccccc1C(OCCN(C)C)c1ccccc1
CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1,8.699656668112006,,,,,,7.959535771613925,10.048585830186893,,,CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1
CNCCCN1c2ccccc2CCc2ccccc21,6.958607314841776,6.724031152317583,6.6777807052660805,6.795880017344077,6.84466396253494,5.631264526293652,7.207138949463631,6.835590911784103,5.047249690396941,,CNCCCN1c2ccccc2CCc2ccccc21
CCOCCn1c(N2CC[C@H](N(C)C)C2)nc2ccccc21,5.8226062469814375,,,,,,8.319586254208138,,6.632639999999999,,CCOCCn1c(N2CC[C@H](N(C)C)C2)nc2ccccc21
CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12,8.2509059864969,,,,,,4.64,,5.7449091649655655,,CC(c1ccncc1)c1c(CCN(C)C)sc2ccccc12
CN(C)CCC1=C(Cc2cnccn2)c2ccc(F)cc2C1,5.0,,,,,,8.851290654773923,,6.090758798237051,,CN(C)CCC1=C(Cc2cnccn2)c2ccc(F)cc2C1
COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,5.0,,,,,,8.509546102055241,,5.536654959200404,,COc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1
CC(=C1c2ccccc2CC1CCN(C)C)c1ccccn1,8.62,,,,,,9.4,4.69,6.05,,CC(=C1c2ccccc2CC1CCN(C)C)c1ccccn1
CC(C1=C(CCN(C(C)C)C(C)C)Cc2ccccc21)c1ccccn1,5.723333156517931,7.0699932444214495,5.24000009070523,5.713333316265937,5.29333341383737,,6.134998047540778,,,,CC(C1=C(CCN(C(C)C)C(C)C)Cc2ccccc21)c1ccccn1
NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,7.744727494896692,6.667679012221937,7.136677139879544,6.402191097555544,6.585026652029183,8.04724350742729,8.963768647006946,9.056947894537116,,,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
CC(=C1c2ccccc2CC1CCN(C)C)c1nc(C)cs1,5.44,,,,,,8.51,,5.72125,,CC(=C1c2ccccc2CC1CCN(C)C)c1nc(C)cs1
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,7.720415466349058,6.698934647526504,7.399313336224012,7.720415466349058,7.550947322885928,5.6,8.504818554151184,6.959535771613925,,,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,5.0,,,,,,7.92148434620249,,6.126869997785027,,Cc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1
