compound_id,target_DRD2_standard_value,target_CHRM2_standard_value,target_HTR2A_standard_value,target_OPRM1_standard_value
COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C(C)=C/c4ccccc4)CC3)[C@@H]1CO2,6.639424054660803,,6.0,
CCc1nc2cc3c(c(Br)c2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.241672215099273,,,
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.0,5.898892112099434,7.048259973497295,
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(C2CCOCC2)n1C)CC3,6.341672022343197,,,
COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(C)cc2)CC1,5.0,,,5.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6cc5CC4)n3C)cccc2n1,5.641672623851582,,,
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,6.508754426749432,,9.08256381119694,
CN(C)CCCN1c2ccccc2CCc2ccccc21,6.260427444080357,,6.949169334110544,
Cc1cc(C)n(C2CN(CCCc3nc(-c4ccccc4)no3)C2)n1,5.25,,5.44,
Clc1ccc2sc(CCCCN3CCC4CCCCC4C3)nc2c1,5.96,,5.92,
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc2ncccc2c1,6.0,,7.180228032229066,
CN1CCN([C@@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,8.18246926541429,,,
CN1CCN([C@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,8.973818311711383,,,
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1,7.11820809571422,,6.953012276546736,
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,5.36,,6.32,5.76
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,7.679260235088693,,9.792791483419135,
CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.341672022343197,,,
Cc1ccc2c(c1)N1OC(CN(C)C)CC1c1ccccc1C2,7.26,,8.51,
CC(=O)NCc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2,8.480992020040704,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(CC7CC7)oc6cc5CC4)n3C)cccc2n1,6.241672215099273,,,
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,9.922842579201074,5.5684191971013535,8.72897566515114,
Cc1cc(-c2nc3cc4c(cc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1,6.441671788816618,,,
CC(=O)NCc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,7.569545411947002,,,
COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,5.795531244300967,,9.644746185651996,
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,7.471263095679362,5.0,5.655998011518072,
COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.351027468572492,5.0
CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(F)cc3[C@H]2O1,7.496566673893365,,5.263284866394389,
COc1ccccc1N1CCN(Cc2cc(CN3CCN(C)CC3)c3cccccc2-3)CC1,7.235705648990645,,,
COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.998846489296831,5.0
Cc1ncoc1-c1nnc(SCCCN2CCc3cc4c(cc3CC2)N(C)C(=O)CO4)n1C,6.741670088895381,,,
NCCc1cnc[nH]1,5.0,,,
O=C(CCCN1CCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.885082183030387,,6.9601264819505495,
N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,5.0,5.0,5.0,5.0
CC1=NC2=CCCCN2C(=O)C1CCN1CCC(c2noc3cc(F)ccc23)CC1,9.36,6.0,10.0,
NC(CS(=O)(=O)O)C(=O)O,5.0,5.0,5.0,5.0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,5.638272163982407,5.0,,
